Date,Latitude,Longitude,WnvPresent,week_of_year,dist_to_stat_1,dist_to_stat_2,infection_rate,"('high_rate',)","('north_high',)","('north_low',)","('south_high',)","('south_low',)"
2007-05-29,41.95469,-87.800991,0,22,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
2007-05-29,41.95469,-87.800991,0,22,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
2007-06-05,41.95469,-87.800991,0,23,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
2007-06-05,41.95469,-87.800991,0,23,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
2007-06-05,41.95469,-87.800991,0,23,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
2007-06-26,41.95469,-87.800991,0,26,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
2007-06-26,41.95469,-87.800991,0,26,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
2007-06-26,41.95469,-87.800991,0,26,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
2007-06-29,41.95469,-87.800991,0,26,0.13802634596700253,0.1756599959609456,0.00020863759649488838,0.0,0.0,1.0,0.0,0.0
2007-07-02,41.95469,-87.800991,0,27,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
2007-07-02,41.95469,-87.800991,0,27,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
2007-07-11,41.95469,-87.800991,0,28,0.13802634596700253,0.1756599959609456,0.000271333604666938,0.0,0.0,1.0,0.0,0.0
2007-07-11,41.95469,-87.800991,0,28,0.13802634596700253,0.1756599959609456,0.000271333604666938,0.0,0.0,1.0,0.0,0.0
2007-07-11,41.95469,-87.800991,0,28,0.13802634596700253,0.1756599959609456,0.000271333604666938,0.0,0.0,1.0,0.0,0.0
2007-07-18,41.95469,-87.800991,0,29,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
2007-07-18,41.95469,-87.800991,0,29,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
2007-07-18,41.95469,-87.800991,0,29,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
2007-07-27,41.95469,-87.800991,0,30,0.13802634596700253,0.1756599959609456,0.002696629213483146,0.0,0.0,1.0,0.0,0.0
2007-07-27,41.95469,-87.800991,0,30,0.13802634596700253,0.1756599959609456,0.002696629213483146,0.0,0.0,1.0,0.0,0.0
2007-07-27,41.95469,-87.800991,0,30,0.13802634596700253,0.1756599959609456,0.002696629213483146,0.0,0.0,1.0,0.0,0.0
2007-08-01,41.95469,-87.800991,1,31,0.13802634596700253,0.1756599959609456,0.001800720288115246,0.0,0.0,1.0,0.0,0.0
2007-08-01,41.95469,-87.800991,0,31,0.13802634596700253,0.1756599959609456,0.001800720288115246,0.0,0.0,1.0,0.0,0.0
2007-08-01,41.95469,-87.800991,0,31,0.13802634596700253,0.1756599959609456,0.001800720288115246,0.0,0.0,1.0,0.0,0.0
2007-08-07,41.95469,-87.800991,0,32,0.13802634596700253,0.1756599959609456,0.007453416149068323,0.0,0.0,1.0,0.0,0.0
2007-08-07,41.95469,-87.800991,0,32,0.13802634596700253,0.1756599959609456,0.007453416149068323,0.0,0.0,1.0,0.0,0.0
2007-08-07,41.95469,-87.800991,0,32,0.13802634596700253,0.1756599959609456,0.007453416149068323,0.0,0.0,1.0,0.0,0.0
2007-08-15,41.95469,-87.800991,1,33,0.13802634596700253,0.1756599959609456,0.004125128910278446,0.0,0.0,1.0,0.0,0.0
2007-08-15,41.95469,-87.800991,0,33,0.13802634596700253,0.1756599959609456,0.004125128910278446,0.0,0.0,1.0,0.0,0.0
2007-08-15,41.95469,-87.800991,0,33,0.13802634596700253,0.1756599959609456,0.004125128910278446,0.0,0.0,1.0,0.0,0.0
2007-08-21,41.95469,-87.800991,1,34,0.13802634596700253,0.1756599959609456,0.00845771144278607,0.0,0.0,1.0,0.0,0.0
2007-08-21,41.95469,-87.800991,0,34,0.13802634596700253,0.1756599959609456,0.00845771144278607,0.0,0.0,1.0,0.0,0.0
2007-08-21,41.95469,-87.800991,0,34,0.13802634596700253,0.1756599959609456,0.00845771144278607,0.0,0.0,1.0,0.0,0.0
2007-08-24,41.95469,-87.800991,1,34,0.13802634596700253,0.1756599959609456,0.012899896800825593,0.0,0.0,1.0,0.0,0.0
2007-08-24,41.95469,-87.800991,0,34,0.13802634596700253,0.1756599959609456,0.012899896800825593,0.0,0.0,1.0,0.0,0.0
2007-09-04,41.95469,-87.800991,1,36,0.13802634596700253,0.1756599959609456,0.006685017695635077,0.0,0.0,1.0,0.0,0.0
2007-09-04,41.95469,-87.800991,1,36,0.13802634596700253,0.1756599959609456,0.006685017695635077,0.0,0.0,1.0,0.0,0.0
2007-09-12,41.95469,-87.800991,0,37,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
2007-09-12,41.95469,-87.800991,1,37,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
2007-09-18,41.95469,-87.800991,0,38,0.13802634596700253,0.1756599959609456,0.0024764735017335313,0.0,0.0,1.0,0.0,0.0
2007-09-18,41.95469,-87.800991,0,38,0.13802634596700253,0.1756599959609456,0.0024764735017335313,0.0,0.0,1.0,0.0,0.0
2007-09-24,41.95469,-87.800991,0,39,0.13802634596700253,0.1756599959609456,0.0014204545454545455,0.0,0.0,1.0,0.0,0.0
2007-09-24,41.95469,-87.800991,0,39,0.13802634596700253,0.1756599959609456,0.0014204545454545455,0.0,0.0,1.0,0.0,0.0
2007-10-04,41.95469,-87.800991,0,40,0.13802634596700253,0.1756599959609456,0.0029411764705882353,0.0,0.0,1.0,0.0,0.0
2007-10-04,41.95469,-87.800991,0,40,0.13802634596700253,0.1756599959609456,0.0029411764705882353,0.0,0.0,1.0,0.0,0.0
2009-05-28,41.95469,-87.800991,0,22,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
2009-06-02,41.95469,-87.800991,0,23,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
2009-06-05,41.95469,-87.800991,0,23,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
2009-06-05,41.95469,-87.800991,0,23,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
2009-06-12,41.95469,-87.800991,0,24,0.13802634596700253,0.1756599959609456,0.0,0.0,0.0,1.0,0.0,0.0
