Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,AvgSpeed,Depart,Sunset,Sunrise,Precip_1,Precip_2,week_of_year
2007-05-01,83.5,51.0,67.5,51.0,56.5,0.0,2.5,9.4,14,1849,448,0.0,0.0,18
2007-05-02,59.5,42.5,51.5,42.0,47.0,13.5,0.0,13.4,-3,1850,447,0.0,0.0,18
2007-05-03,66.5,47.0,57.0,40.0,49.0,8.0,0.0,12.55,2,1851,446,0.0,0.0,18
2007-05-04,72.0,50.0,61.0,41.5,50.0,7.0,0.0,10.6,4,1852,444,0.0001,0.0,18
2007-05-05,66.0,53.5,60.0,38.5,49.5,5.0,0.0,11.75,5,1853,443,0.0001,0.0001,18
2007-05-06,68.0,50.5,59.5,30.0,46.0,5.5,0.0,14.75,4,1855,442,0.0,0.0,18
2007-05-07,83.5,48.5,66.0,40.0,53.5,0.0,1.0,10.2,10,1856,441,0.0001,0.0,19
2007-05-08,81.0,57.0,69.0,57.5,62.5,0.0,4.0,5.6,12,1857,439,0.0,0.0001,19
2007-05-09,76.5,62.0,69.5,59.5,63.0,0.0,4.5,6.050000000000001,13,1858,438,0.13,0.02,19
2007-05-10,83.5,57.5,70.5,52.0,60.5,0.0,5.5,4.0,14,1859,437,0.0,0.0,19
2007-05-11,71.5,50.0,61.0,43.0,51.0,4.0,0.0,12.85,4,1900,436,0.0,0.0,19
2007-05-12,64.5,46.5,55.5,36.5,46.0,9.5,0.0,12.95,-2,1901,435,0.0,0.0,19
2007-05-13,69.0,43.5,56.5,32.5,46.0,8.5,0.0,7.85,-2,1902,434,0.0,0.0,19
2007-05-14,90.0,55.0,72.5,46.0,58.5,0.0,7.5,15.95,15,1903,433,0.0,0.0,20
2007-05-15,81.0,56.5,69.0,56.0,61.0,0.0,4.0,11.55,11,1904,432,0.38,0.6,20
2007-05-16,65.0,44.5,55.0,42.5,47.5,10.0,0.0,12.0,-4,1905,431,0.14,0.07,20
2007-05-17,61.5,43.5,53.0,32.0,43.0,12.0,0.0,11.75,-6,1906,430,0.0,0.0,20
2007-05-18,70.5,42.5,57.0,30.5,46.5,8.0,0.0,6.5,-3,1907,429,0.0,0.0,20
2007-05-19,80.0,56.0,68.0,38.0,53.0,0.0,3.0,11.4,8,1908,428,0.0,0.0,20
2007-05-20,69.0,43.5,56.5,40.5,44.5,8.5,0.0,10.2,-5,1909,427,0.07,0.11,20
2007-05-21,79.5,45.0,62.5,50.0,56.5,2.5,0.0,8.0,1,1910,426,0.0,0.0,21
2007-05-22,87.0,57.5,72.5,45.0,58.0,0.0,7.5,10.4,10,1911,425,0.0,0.0,21
2007-05-23,89.0,63.0,76.5,48.5,61.0,0.0,11.5,11.5,14,1912,425,0.0,0.0,21
